result_group,experiment,feature_count,best_iteration,brier,auc,ece_10bin,prediction_mean,prediction_std,elapsed_seconds,interpretation
historical_full,v1_all__hist_gbdt,194,350,0.24826307535105158,0.5460554003619473,0.008864882010863325,0.49417859828068983,0.04557831372036988,623.921,현재 확인된 최고 성능
historical_full,v1_all_no_ids__lgbm_base,192,213,0.248279218397661,0.5455647855298875,0.0102621738762429,0.4958992344102258,,368.727,ID 제거 LightGBM 최고 후보
historical_full,v1_asof__lgbm_base,168,147,0.2488892247730232,0.5384752615502042,0.0150050722776835,0.5008693786843962,,240.134,공식 asof 추세 추가 후보
historical_full,v1_all__lgbm_regularized,194,189,0.248908141620523,0.5382425508062819,0.015861221389630944,0.5018233203728385,0.03831881934795551,265.052,정규화 LightGBM
historical_full,v1_all__lgbm_base,194,139,0.24892458169072776,0.5378320247468528,0.015926181392047645,0.5019099684050952,0.038664364165628066,270.594,전체 피처 LightGBM
four_model_refit,v1_all_threat__xgboost_four,200,25,0.2493783376175629,0.5430638426140643,0.0254023118863176,0.5115072320660365,0.0184257049863568,218.774,4모델 프리셋 내 1위
four_model_refit,v1_all__catboost_four,194,1,0.2499189821618422,0.53382097500756,0.0263830524530585,0.4998032296253273,0.0012451103591981,535.78,1회 선택으로 과소학습
four_model_refit,v1_all_threat__hist_gbdt_four,200,4,0.2506888372865661,0.5396879327140078,0.0365820438418801,0.5226869640215991,0.0071902472194085,530.542,4회 선택으로 과소학습
four_model_refit,v1_all_threat__lgbm_four,200,11,0.2507735002631261,0.5345275037230319,0.0373473753703738,0.5234522955500926,0.008005815666452,154.007,11회 선택으로 과소학습

